# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp245,2007,142.39862708771807,148.63893805090564,48.62056816848335,224.38383435027865,2503.9271850534524,2524.0793311639272,2278.7061880600572,2727.0850308868185,33
ssp245,2008,129.88931448365295,114.79667383907695,53.57860971376314,236.35990622980987,2531.151532134935,2550.1577536786644,2286.62169480086,2800.3965870416955,33
ssp245,2009,135.13244670309808,129.21908966171273,53.466586448337985,242.21643113665064,2509.7198818513134,2502.1967633908225,2288.7803233800214,2788.4010452155317,33
ssp245,2010,125.081358021924,106.24990939881272,51.02679060338905,241.53395574771676,2542.6953441286055,2533.111426352054,2340.37116780355,2729.4176561645186,33
ssp245,2011,111.77745811683184,98.28838409368805,30.742172672471703,208.36821824713942,2567.967164057779,2570.656132278059,2358.796348221857,2773.810242108177,33
ssp245,2012,127.62335943449737,119.37484169877516,37.964069896264185,219.0130539293381,2570.4853191905986,2593.6970736131743,2330.180324703168,2842.808458189791,33
ssp245,2013,126.48345948592326,113.27778756780489,55.54414019174263,266.1315288321179,2563.4410728683893,2562.7298424481496,2355.76113739123,2801.051573136994,33
ssp245,2014,122.97364963312079,126.24053382310096,43.530319113394086,212.25314502552044,2551.6506603366975,2523.903013655902,2397.2097875221393,2860.602939590454,33
ssp245,2015,109.09760952793995,111.14687355091202,32.02498831180827,180.40038569664645,2621.0082092737766,2618.924790702686,2356.290300774271,2865.9181252360004,32
ssp245,2016,119.43472046533704,105.56994660909602,57.47451926035057,217.12383267798947,2618.881774026918,2584.12317463283,2340.9565045430477,2885.2063363828065,32
ssp245,2017,104.01129165235284,92.29885855579656,50.85635052446102,212.04598092154706,2644.7412474250764,2654.810685159093,2328.5212555364187,2907.094529613437,32
ssp245,2018,102.59898285585363,88.03746546243018,17.26539311933623,203.14779716064535,2675.0962798139876,2637.472581947561,2422.1579884529397,2973.543628727957,32
ssp245,2019,115.14717926304559,112.83256555232184,37.955541860932314,222.22769529891625,2669.6377385025658,2671.722174009273,2431.073981286873,2909.436494847245,32
ssp245,2020,122.48673704053108,126.17670845505256,34.251352569884595,294.1979363101291,2667.6422059167276,2645.20399643232,2496.8594225657944,2900.6281972681745,32
ssp245,2021,99.18873561717571,92.28233739138167,36.59326661304238,203.01966400174976,2708.3017243004315,2724.615835797588,2464.755407852334,3044.1336957675476,32
ssp245,2022,110.63625350785495,92.12731619927676,47.64448967315894,199.70480057092323,2749.4183282267386,2753.230019503179,2462.9998159396328,3002.829913985621,32
ssp245,2023,93.51658985589285,90.67089381212728,37.52311813220889,149.811047583836,2756.2609036125364,2756.350244629484,2489.8996067575586,2995.5006043275494,32
ssp245,2024,103.91857672873962,101.36452897199574,28.477507343292853,210.35948203614387,2744.253593766537,2751.222581929143,2581.0642458856087,2909.1963475835655,32
ssp245,2025,95.18697304579835,80.19762276243736,32.89034365345926,183.9143847280027,2755.716711692977,2769.4774522111056,2465.6852206506587,2996.363921885278,32
ssp245,2026,109.43322742656758,98.858446682274,32.750979888330455,206.38214138194888,2757.939137135368,2716.4778198433955,2472.9992689919104,3052.8812218665103,32
ssp245,2027,112.60213161311717,103.8198783958478,52.95132775541311,214.12627792584502,2790.150798233714,2737.160396311968,2553.494946356944,3109.60992237818,32
ssp245,2028,91.16984754537305,84.9595409920318,16.574844052243886,187.1537057528364,2805.7164169338234,2818.077190280802,2540.04404023227,3035.096386399804,32
ssp245,2029,87.62642331248082,71.17924320431501,24.102759873842952,176.59420981201015,2816.0290718205597,2797.630843965173,2486.4572862784707,3099.880221155237,32
ssp245,2030,87.15808608442663,82.03075024511583,21.170085615435386,156.77987990441704,2793.7389186934815,2801.48493891132,2529.8163237059875,3055.3089562996497,32
ssp245,2031,83.12144218131453,77.3435926423574,26.727514472094157,152.95915114973107,2827.785842315914,2788.22890203377,2570.6128237427597,3072.707934458197,32
ssp245,2032,85.9385015601756,77.76862254655026,37.05033260415683,158.31555949769285,2861.553061747587,2902.0746431435323,2617.2374095616065,3092.0626429924578,32
ssp245,2033,92.39882344893648,94.02989832537536,22.678419811423787,173.2375110827629,2869.8835452821954,2885.468572619849,2646.4538653214695,3178.8836950302734,32
ssp245,2034,84.10975943708601,83.05051110666778,19.11545368941166,152.6783313905534,2877.0403147897414,2879.2730668475283,2502.7152003339133,3221.719079744894,32
ssp245,2035,82.73953517453154,63.50561765095036,31.390093487842172,173.32898275851673,2880.7229181384946,2900.344801031563,2503.534215807871,3258.478774234444,32
ssp245,2036,80.51838537921614,69.99975311217584,25.628822858829462,174.06409557991398,2877.901164863092,2869.199181972704,2606.686333397727,3218.724801618449,32
ssp245,2037,77.88745738158859,76.54138928664408,24.52090207484861,135.23698935090755,2914.1908846143447,2911.28682774835,2639.450363660951,3146.3811886000017,32
ssp245,2038,75.4237229693532,73.18692837985708,28.215553170523208,127.41244048574902,2979.4923835865766,2976.393413467756,2822.750872029577,3201.9600832331666,32
ssp245,2039,82.14057594265388,71.1117055770263,18.50523929868697,184.4108198494376,2900.6061762262425,2897.308076558101,2573.5848397288955,3178.681359405713,32
ssp245,2040,78.8825860627745,81.40768622707441,21.807443417404663,143.67244740737857,2928.961667967629,2934.625066881071,2535.858712711355,3317.8479429393456,32
